title,date,author,text
"New trailers: Lovecraft Country, Perry Mason, Jedi Temple Challenge, and more","
          Jun  6, 2020, 10:00am EDT
        ",Jacob Kastrenakes,", and while I’ve been dreading the ways AT&T will inevitably ruin HBO, I actually like a lot about the new service. The app is far nicer to browse than Netflix thanks to its curated highlights. But the real standout to me has been that the service ,, which haven’t previously been available to stream.,I watched , for the first time in years over the weekend. The story is simpler than I remembered (perhaps too simple!), but the story is a lot more charming than I remembered, too. It really encapsulates what Ghibli would continue to do so well in later movies — build out worlds that feel real, quaint, and expansively magical all at once.,My colleague Sam Byford , if you’re just diving in. I haven’t seen most of the movies yet, and this has me excited to see more.,Check out seven trailers from this week and last week below., is one of the most intriguing shows coming up on HBO. The series follows three black travelers on a journey through Jim Crow America who have to deal with racist threats and the added horrors of Lovecraftian monsters (which seems like a potentially compelling way to address Lovecraft’s racism, too, ,). The show starts some time in August.,Disney took the formula behind , and build a , themed challenge around it, so I have to imagine this will be one hit of a kids show. The trailer doesn’t highlight it, but she show is hosted by Ahmed Best, ,. The series was scheduled to debut this week, but it’s been pushed to June 10th., is a generational drama about a mother and daughter trying to win a pageant in Texas and the different goals the two see in finding success. The film got some positive reviews after its debut at Sundance, and it’s now heading for a wide release on, fittingly, June 19th.,While the , recording is ,, this documentary about Freestyle Love Supreme, a hip-hop improv group co-created by Lin-Manuel Miranda, will land on the primarily Disney-owned Hulu. It looks fun and like an obvious watch for people who can’t get enough from Miranda. The documentary was supposed to come out on Friday, but , to not distract from the Black Lives Matter movement and the ongoing protests against police brutality across the United States.,Here’s another look at HBO’s reboot of ,, which has Matthew Rhys starring as the classic detective (slash lawyer) in what looks like a really fun, classically styled whodunnit series. It debuts June 21st.,Netflix has a documentary coming up about the Scripps National Spelling Bee focused on how and why Indian Americans have often come out on top over the last two decades. It came out earlier this week.,Here’s something unusual for this column: a trailer for a movie that doesn’t exist. Last week, , director Shane Carruth published this nearly decade-old trailer he cut together (at least partially using shots from other films) to help explain what his next movie, ,, would look like. Unfortunately, all these years later, it seems like we’re unlikely to ever see the final result. Carruth has said he’s quitting filmmaking, and he , with Hollywood."
The Blacklist’s season finale will be partially animated as teams work to finish from home,"
          May  5, 2020,  6:35pm EDT
        ",Julia Alexander,"NBC’s ,is another show whose producers and writers are finding intuitive ways to end the season while on-set production has come to a halt amid the coronavirus pandemic. The show’s seventh season finale will air as a half-live-action, half animated special next week. ,The animation will be comic book-style, ,. Based on the artwork above, it looks like the episode might be visually similar to movies like ,which used similar art styles. The animated component will be added to incorporate the live-action scenes that have already been filmed, ,reports, with lead actors James Spader and Megan Boone recording audio from their individual homes. Everyone’s work on the episode will be carried out remotely. ,Although ,is the latest show to figure out a way to tell a narrative story by introducing new methods to editing an episode from home, it’s far from the first. CBS’ legal ,produced an entire episode remotely, incorporating video conferencing tools like Zoom to conduct a court case while characters practiced social distancing protocols. NBC’s own ,found its 10 main cast members , about the coronavirus pandemic. The network’s long running ,has also produced two episodes completely remote since mass self isolation protocols went into effect in the United States. ,The specials have received applause from critics who have stressed how impressive it is that teams have created each episode. Some critics have stressed that while it works as a one-off, the episodes prove that television is a long way off from producing seasons long entertainment executed in ,. ,’s season finale is set to air on Friday, May 15th at 8PM ET. "
Netflix’s new Michelle Obama documentary arrives May 6th,"
          Apr 27, 2020,  2:25pm EDT
        ",Jay Peters,"Netflix , that a new documentary about former first lady Michelle Obama will be available on the streaming service starting Wednesday, May 6th. The documentary is called ,, which is the same title as her memoir released in 2018. , will cover some history of Obama’s life from the memoir, ,, and give a behind-the-scenes look at experiences from her 34-city book tour. ,“Those months I spent traveling — meeting and connecting with people in cities across the globe — drove home the idea that what we share in common is deep and real and can’t be messed with,” said Obama in a statement. “In groups large and small, young and old, unique and united, we came together and shared stories, filling those spaces with our joys, worries, and dreams. We processed the past and imagined a better future. In talking about the idea of ‘becoming,’ many of us dared to say our hopes out loud.”,You can watch a trailer for the new documentary ,:,Michelle and President Barack Obama signed a multiyear agreement with Netflix , to create “a diverse mix of content, including the potential for scripted series, unscripted series, docuseries, documentaries, and features” from their production company, Higher Ground Productions. The Obamas signed a deal with Spotify to produce exclusive podcasts for the platform in ,. "
"New trailers: Lovecraft Country, The Painter and the Thief, and more","
          May  2, 2020,  9:00am EDT
        ",Jacob Kastrenakes,"I finally caught up on the Amazon series ,, which I’ve been wanting to watch since getting a glimpse of ,. I think I complained in one of these columns recently that, upon rewatching ,y, I felt like its animation was underused, barely scratching the surface of what such a dark, trippy film could do with that dreamy style. , gets it right.,The series does a wonderful job of using its dreamy look to tell a story where characters are constantly going in and out of memories, leaving moments behind only to return to them later, mid-conversation. It’s something that could easily be overdone, but the story keeps it all grounded, even as the visuals help to express just how disorienting and occasionally wonderful the feeling of slipping in and out of time can be.,And ultimately, the show’s characters are just so strong and colorful on their own that it’d be worth watching even if people weren’t constantly slipping through time and space. The rotoscoped style could have distanced us, but instead it gives the actors space to be even more expressive, as the scene focuses us on their eyes, mouth, or hands, making simple motions feel large and impactful.,Check out seven trailers from this week below.,J.J. Abrams and Jordan Peele are two of the executive producers behind this new HBO series, which basically boils down to: what if the Jim Crow South , had Lovecraftian monsters? It looks like a very cool blend of genres so far. The show starts in August.,A painter confronts — and befriends — a man who stole two of her paintings in the documentary ,. It looks like a fascinating story, and it’s worth checking out the trailer just for a glimpse at the relationship the two build, particularly as she begins to paint a portrait of him. The film comes out May 22nd.,It’s probably been over a decade since I’ve seen an episode of ,, but this revival of the show looks like it hasn’t lost a step from the ridiculous series I remember. The show is coming to Quibi, which, alright fine. It returns May 4th.,Amazon has a new season of , coming up, and this installment has Janelle Monáe in the lead, which seems like a solid reason to revisit the show. The new season premieres May 22nd.,A year after ending the series, Netflix is bringing back , for a special episode to take advantage of its ,-style (,) tech. The revival arrives May 12th.,Hulu has a new animated comedy coming up from two of the producers behind ,. The comedy feels a little cheap, but I really like the animation style, which has the characters and world all looking like little woodblock toys. The show premieres June 12th.,Here’s the first real look at Jerry Seinfeld’s new comedy special, his first in more than two decades. There’s something very charming about seeing bits of Seinfeld’s routine — he has his style down so perfectly, it feels a little like listening to a forgotten track on an old album you used to love. The special comes to Netflix on May 5th."
Netflix miniseries Hollywood isn’t the inspiration it thinks it is,"
          May  5, 2020, 12:36pm EDT
        ",Joshua Rivera,"There’s a scene in , for ,, a musical about the life of P.T. Barnum, where Hugh Jackman grins at Zach Efron for saying he does not know what “show business” is. “That’s because I’ve just invented it,” he tells him, cheekily. Like a zombie show where the characters somehow do not know what zombies are, this little bit of irony is fun or grating, depending on the type of person you are. But hardly anyone wants to deal with an entire show full of that. ,, a new Netflix miniseries from Ryan Murphy, is an entire show full of that.,Murphy is perhaps the buzziest maker of television in the business. With this latest project, the writer / director (who co-created the series with frequent collaborator Ian Brennan), who is behind shows like , and , brings his distinct slick, sensational style to the Golden Age of showbiz. Bawdy and transgressive, it starts with a flair and energy that’s hard to look away from, tremendously watchable from minute one. Trouble is, it’s impossible to parse what the show wants to even be ,.  , is an alt-history story about a cast of mostly fictional strivers trying to make it big in 1940s Los Angeles. Just about every core cast member we’re introduced to — writer Archie Coleman (Jeremy Pope), director Raymond Ainsley (Darren Criss), actress Camille Washington (Laura Harrier), among others — are from marginalized backgrounds. They’re gay, women, not white, or some combination of the three. They are, by design, people who would have never, ever stood a chance in Old Hollywood, at least not without finding some way to pass. This is the first aim of the show: a rewrite of the well-worn dream-big story, but one starring people who weren’t allowed to be a part of it, and one where they win. ,But the series isn’t just a rosy what-if fable. ,also has ambitions of being a much-needed corrective to our overly simplistic view of the Hollywood that was. The show echoes works like , and the book / documentary ,, offering a look into a more hedonistic side of the Golden Age of show business. This Hollywood was not carefully laundered for mass consumption, a Dreamland where big-name stars had hookups arranged by fixers that conducted business out of a gas station front and secretly gay and bisexual actors and producers threw exclusive parties where they could be secrets no longer. ,In this, the miniseries wants to have its cake and eat it, too. , shows the era for its ugliness — the homophobia, racism, and sexism that shut out marginalized talent for decades — and dreams a new dream where it wasn’t enough to stop our heroes. But its other goal of disabusing viewers of the wholesome myth embodied by the films of the era gets incredibly messy fast. ,Part of the problem is that , is not entirely built around fictional characters. Real names enter and leave the drama throughout, from Hattie McDaniel (Queen Latifah) to Anna May Wong (Michelle Krusiec), real people who did the impossible present to bolster the egos of characters that never existed and therefore, arguably, their creators. Then there’s Henry Wilson (an impressively nasty Jim Parsons), a real-life talent agent who was famous for developing the era’s leading men. He was also, as ,makes , clear, alleged to be the Harvey Weinstein of his day, coercing young men into sex in exchange for parts and stardom. On the show, one of those men is the aspiring actor whom Wilson turns into Rock Hudson — a curious choice since the show barely seems interested in the real Rock Hudson’s biography. ,It’s hard not to see the twin ambitions of , as utterly at odds with each other. The truth-telling of its nastier side inspired by the real version of history undercuts the earnestness of its wish-fulfillment, making it seem cloying and saccharine. In turn, that earnest part of the show makes its forays into Old Hollywood’s real-world underbelly feel exploitative and cheap. There is too much friction between the two for them to build a cohesive whole, and, as a result, the whole enterprise is compromised at best and condescending at worst. ,Like most people involved in the Hollywood of the real world, the characters of , are utterly convinced that everything they’re doing is ,important. They make dreams real, you see, telling stories so that others can see them and be inspired to believe that they can do it, too. We , to have a version of this story where the marginalized succeed because we need them to inspire a more diverse future version of Hollywood so that Hollywood can go on. ,But the show ,wants you to know that it represents a business where abusers thrive, sex can be traded for power, and bigoted men can build systems that protect their interests and extend their reach. That’s just as much a part of show business as the brown kid who gets it in their head that they can make it, matter just as much as the white ones, and become an example that inspires countless others back home. It’s telling that while ,’s marginalized characters find success, its biggest abuser is ambiguously reformed, allowed to stay in the business of dreams after only a few scenes of feeling sorry about it all. ,These are two sides of the same coin: the pernicious reach of the powerful and the inspiring success stories that launder their reputation. In tying the two together once more, the series just props up the old system it thinks it’s subverting. Hollywood’s greatest production has always been Hollywood. "
"Nicolas Cage is playing Joe Exotic in a new Tiger King TV show, of course","
          May  4, 2020,  3:25pm EDT
        ",Chaim Gartenberg,"In a move that seems utterly obvious as soon as it was announced, Nicholas Cage will be playing the eccentric zookeeper Joe Exotic in a new TV series, ,. Look, this was bound to happen. ,As soon as Netflix’s , true-crime documentary series exploded into popularity, Hollywood began turning the almost impossibly outlandish story of the bombastic Joe Exotic, Carole Baskin, and their tiger-fueled feuding into a scripted series.,And now Cage himself — Hollywood’s most over-the-top actor whose work has endlessly spanned the gray area between good, bad, and just plain weird — is set to take on the role of the eccentric Tiger King himself. The currently unnamed show will also mark Cage’s first TV role. ,Like the Netflix series that put the spotlight on Joe Exotic, the Nicholas Cage-starring show is based on Leif Reigstad’s ,article “,,” although the Cage series is set to be a traditional eight-episode scripted show, not a documentary. ,The series is being produced by Imagine Television Studios and CBS Television Studios, with Dan Lagana set to serve as the writer and showrunner, along with serving as an executive producer alongside Paul Young (Lagana and Young optioned the rights to the original article in June 2019). There’s no word yet as to what network or streaming service the show will debut on. ,The new series is by no means the only one looking to cash in on the , fever: there’s a , show set to , that’s been in production for months (long before Netflix’s own series was released), based on the ,There’s a , on the story that’s in the early stages of production. , on a true-crime follow-up called ,that promises to dive deeper into the case. "
Taika Waititi will direct and co-write a new Star Wars movie,"
          May  4, 2020, 12:44pm EDT
        ",Jay Peters,"Taika Waititi will direct and co-write a new , movie for theatrical release, Disney ,. It won’t be Waititi’s first brush with the , universe; he directed the season finale of ,He also earned an Academy Award for his screenplay for , and directed ,. Rumors of a Waititi-helmed , movie first surfaced ,, though it’s unclear if this movie is the one that Marvel Studios president Kevin Feige is ,.,Krysty Wilson-Cairns, who co-wrote the screenplay for ,, which won the British Academy Film Award for Outstanding British Film ,, will join Waititi in co-writing the new , film. She will be the second woman to co-write a , movie; Leigh Brackett was the first, co-writing , with Lawrence Kasdan.,Disney also announced that a new , series for , headed up by Leslye Headland, co-creator and showrunner for Netflix’s ,. The company didn’t announce any plot details about Headland’s new series, but , to be a “female-centric” show that takes place in a different part of the , timeline than other projects. Headland will write, executive produce, and serve as the showrunner for the new series, according to Disney.,Disney has not announced a release date for Waititi’s film or Headland’s Disney Plus series. "
Mindy Kaling’s new teen sitcom Never Have I Ever is an empathetic exploration of grief,"
          May  1, 2020,  4:15pm EDT
        ",Joshua Rivera,"If you told everyone exactly how high school would play out, odds are many would opt the hell out. High school in America is a bizarre and unkind time, a collective coming-of-age story that has as much room for variety as there are people who go through it. ,, a new Netflix sitcom from , creator Mindy Kaling and Lang Fisher, takes the broad strokes of high school and gives them new life by centering its story on an Indian-American girl. It’s an absolute delight, one of the most pleasant new binge-watches you can do right now. ,That doesn’t mean the show is all sunshine — , begins with a tragedy when protagonist Devi Vishwakumar’s (Maitreyi Ramakrishnan) father Mohan (Sendhil Ramamurthy) suddenly dies, and shortly after, Devi inexplicably loses the use of her legs. (This is all in the first few minutes). As Devi is starting to get used to life without her father and with her disability, her mobility returns, just as curiously as it left. , is the story of Devi’s attempt to return to a normal life, and Devi wants to return with a bang — literally, by losing her virginity to Paxton Hall-Yoshida (Darren Barnet) the hottest boy in school. ,Perhaps this might not strike you as a healthy thing for someone, real or fictional, to do. That would be the point: , isn’t just an Indian-American take on the coming-of-age story, but also a story that takes teen rom-com tropes and turns them into a vehicle for exploring grief. None of this ever takes a backseat to ,’s comedy or its earnest, empathetic storytelling. The show strives to keep its stakes small and focused on Devi and her friends and family, but they’re surrounded by a cast of friends and family diverse and interesting enough to support a much bigger show. ,While each character can’t have a subplot of their own, they’re all afforded the potential for depth. Every character is going through something, experiencing their foundational traumas in real time. The central conflict of the show is Devi’s inability to see this, slowly realizing that the process of dealing with her own extraordinary grief blinds her to what others are experiencing, and that dealing with that grief poorly can also cost her the connections that will help her move on. ,Again: ,is also a very good comedy that consistently delights. There’s clever and fun narration from tennis superstar John McEnroe (there’s a reason for this); a bright, danceable soundtrack that prominently features Robyn’s “Dancing On My Own” in the pilot and stays in that sonic milieu throughout; and it features a cast of wonderfully charismatic young actors. , feels like what would have been a cult favorite in a previous generation of television, a ,-style one-season wonder. But times are very different now, and an Indian-American lead is a refreshing change for this type of show — especially one that might last."
How to be a Rick and Morty fan,"
          May  7, 2020,  9:58am EDT
        ",Joshua Rivera,"After a mid-season hiatus, ,returned on May 3rd with the first of five episodes to close out its fourth season. The series is as good as it’s always been — shockingly crass but also sharp, easily one of the funniest and most inventive shows on television. As a cultural object, however, there have been problems around its fans. You know, they’re terrible.,It’s been ,, fueled by a comment that went viral on Reddit. “You have to have a very high IQ to understand Rick and Morty,” the post begins, claiming that much of its humor would go over the average viewer’s head. “People who dislike Rick & Morty truly ARE idiots- of course they wouldn’t appreciate, for instance, the humour in Rick’s existential catchphrase ‘Wubba Lubba Dub Dub,’ which itself is a cryptic reference to Turgenev’s Russian epic ,Like anything so obviously Online, it’s impossible to tell if this post is sincere or satire, but it definitely struck a chord. The fan reputation can be so prevailing that enjoying the show often feels as if you need to be at least a little self-aware in your fandom. When I asked a friend if he watched , a few weeks ago, he replied: “Yes, but wokely.” ,Part of that reputation is earned. , fans have a documented history of being extremely annoying — most notably, when an episode mentioned a discontinued McDonald’s Szechuan sauce and said fans began ,. (When the chain brought back the sauce for a limited time, fans were then upset ,.),But some of that reputation comes from the behind-the-scenes dynamic of the show; in the lead-up to season 2, , noted that there were no women on the writing staff, and creators Justin Roiland and Dan Harmon made jokes about it in response. ,“They make my wee-wee feel weird,” said Roiland. ,“I blame them for the inflation , the recession at the same time,” Harmon continued to riff. “They don’t ask for directions, and they leave the toilet seat down.”,After chalking it up to oversight, they corrected the writers’ room homogeneity by staffing Jane Becker, Erica Rosbe, Sarah Carbiener, and Jessica Gao in one big spree for the show’s third season. Misogynistic fans reacted predictably with much whining online that quickly gave way to actual harassment, compelling Harmon to ,. (Harmon, it should be noted, has also very publicly confronted ,.) The outrage was further proved baseless and embarrassing when Gao wrote “Pickle Rick,” one of the show’s fan-favorite episodes.,But fandoms don’t spring forth from the ether, and ,’s status as an Adult Swim show is part of the problem. Cartoon Network’s late-night programming block notoriously , for most of its existence, and former creative director Mike Lazzo ,. (Lazzo retired in December 2019.) It’s hard, then, to be surprised when the bulk of its audience isn’t supportive of people the network only showed interest in recently. ,Like working in an excellent cafe with poor ventilation, the stench of that grease clings to you, an unpleasant reminder of what was actually a pretty nice time. It can feel strange to publicly be into a show that has some truly bad fans — but it can be done if you are delicate about it and completely abandon the hard sell. No aggressive superlatives. Don’t call it “the best / funniest / smartest show on television,” even if you have a pretty solid argument for that. No shock and / or surprise that the other party hasn’t seen it yet or doesn’t know about parts that they would really enjoy.,Instead, focus on something specific and work on your noncommittal voice, like you’re trying to sound cool in high school by showing off how much you don’t actually care. Say you like , because it’s weird, and you like being surprised every time you hit play or that you just love trying to spot the voices of the , guest stars that roll through or that you really like gross jokes about farts and genitalia, and you didn’t know how clever someone could be with them until you saw ,. But say it all with a kind of shrug, like what you ,want to say is “just live your truth.”,Given the state of , fandom, this is probably the safest approach to practicing fandom: soft sells only. You don’t have to feel bad about liking it, but you don’t need to express pride in your good taste either. ,Rick and Morty,Hearthstone: Heroes of WarCraft,It can feel annoying to have to adjust your approach to account for the bad behavior of a subset of fans, but the whole point of being a (good, not-toxic) fan of something is sharing something you like with other people, and that means being concerned with how they think and feel first, and then showing them that they might enjoy the same things as you. While bad fans don’t have to be a reason for you to give up on something you like, they are a perfectly good reason for anyone else to not pay attention. ,This is the easiest way to transcend a fandom problem — by being a sort of anti-fan. Be quieter about it, less about “fandom” the concept and more about fandom as one of dozens of tiny connections you have with the things you enjoy. It’s nice to like things! It’s less nice to like them because ,Anyway, you should watch this ,show if you want. Dude turns himself into a pickle. He’s called Pickle Rick. It’s hilarious. No pressure, though. "
"Comedy Central, MTV, Nickelodeon, and more Viacom channels coming to YouTube TV","
          May  7, 2020,  7:00am EDT
        ",Julia Alexander,"When Viacom and CBS closed , ,, the latter company gained access to a plethora of networks — networks the newly merged company, ViacomCBS, is now bringing to distribution partner Google in a new deal with YouTube TV.,Nickelodeon, MTV, Comedy Central, BET, CMT, Paramount Network, TV Land, and VH1 will all launch on YouTube TV this summer, the company announced today. The multi-year deal also includes prior CBS channels that were available to YouTube TV subscribers, including CBS broadcast stations, CBS Sports Network, Pop TV, Smithsonian Channel, and The CW. YouTube TV will also continue to carry ViacomCBS’ premium cable brand, Showtime, as part of the extended distribution agreement. Financial terms of the agreement were not disclosed. ,“We are thrilled to have reached an expanded agreement with YouTube TV that recognizes the full power of our newly combined portfolio as ViacomCBS,” Ray Hopkins, president of US networks distribution at ViacomCBS, said in a press release. “Google has been an excellent partner, and we look forward to bringing even more of our entertainment networks to YouTube TV subscribers for the first time.”,Viacom’s collection of established, popular cable channels is a bundle of assets that YouTube TV can provide to subscribers. Nickelodeon, MTV, BET, and Comedy Central can help bring in new subscribers or keep current customers from canceling their service. ViacomCBS has also worked with various YouTube creators to , for ,. Distributing Nickelodeon, MTV, BET, and Comedy Central via YouTube, a platform their audience is on, could help reach viewers not purchasing cable packages or tuning into linear television.,The increase in channels coming to YouTube TV, however, could potentially precipitate a hike in monthly cost for the service. When YouTube TV added Turner networks (TNT, TBS, CNN, truTV, Cartoon Network, and Adult Swim) in 2018, the service , from $35 a month to $40 a month. Then, in April 2019, YouTube hiked the price on its service another $10 , following the addition of Discovery channels (Discovery Channel, HGTV, Food Network, TLC) and local feeds from four of the major broadcasters. These deals, on top of others that Google has made with companies like WarnerMedia (YouTube TV ,), a potential price hike isn’t out of the question. ,Adding more channels means more costs for Google, but YouTube TV is a growing business that Google wants to invest in. CEO Sundar Pichai called YouTube TV an “exciting product” for the company in a ,, adding that it has “long run value” for the company because it “brings our advertising products together including being able to serve it across TV.” YouTube TV currently has more than two million subscribers. ,“So we are clearly investing in areas where we see opportunity,” Pichai said. “We are pretty thorough about making sure our investments deliver growth on the other side. And so we monitored with metrics and beat engagement and revenue growth and we see a lot of opportunity here.” , "
