,title,date,author,text,clean_text,processed_text,YearMonth,word_count,meaningfull_words_text
97,Here’s what NBC’s Peacock streaming service will look like when it launches this July ,2020-01-16,Julia Alexander,"Much like competitors , and , Comcast’s streaming service, Peacock, is going to be entirely reliant on hubs. ,Comcast and NBCUniversal gave an in-depth look at Peacock, which ,, during a special investors event this afternoon at 30 Rock in New York City. There are more than 600 engineers working on the platform, according to Matt Strauss, head of Peacock. The streaming platform is based on the infrastructure that Sky in the UK has used for its own streaming options. ,During the presentation, Strauss walked investors and viewers through the Peacock interface. There are three different areas that subscribers can use when they open the app: channels, trending, and browse. While people are thinking of which option they want to click on, a video will play automatically. It may be the news, or part of a game, or a show, but the idea is that “when you launch it immediately starts playing video, just like TV,” Strauss said. The first image in the gallery below shows an example from a story about , from NBC News Now. ,Once people open up browse, they’ll be able to cycle through the ,. These are broken down into a series of rows similar to Netflix and Disney+. The first two rows are based on shows that people are already watching (“Continue Watching”) and new additions to the Peacock app. ,As viewing habit data is collected, machine learning algorithms will help to make titles that appear on the homepage more personalized. This is how Netflix operates and how the upcoming HBO Max app will operate as well. Emphasis will then be placed on Peacock Originals in subsequent rows, followed with recommendations for existing titles that might be of interest. Peacock will also come with a kids section, like every other streaming app, that is entering the streaming space this year. ,Then there’s the trending section. Peacock will also offer short-form content on a daily basis, including sports highlights, pop culture updates, and shorter news segments. Late-night clips, for example, ,. This includes ,clips that people may have missed — Strauss referred to it as the ability to get rid of the “FOMO” (fear of missing out) you might experience by missing a late-night episode right when it airs. This can help NBCUniversal pull subscribers away from YouTube, where many of these highlights already live after the live airing, and over to Peacock — if everything goes according to plan. ,The third section is channels. NBC is a linear network that wants to remind people how important television is, so Peacock is designed to try to replicate the look of traditional television, Strauss says. Subscribers can pull up a channel guide to scroll through, much like we already do with cable packages now, and see what’s on. They can select from TV shows, news, sports, and movies, as well as look into specific types of content hubs. A ,hub, for example, will also get a “channel” look for people to browse through if they like. ,These are Peacock’s three sections, but there are more product features like curation around specific shows. For instance, fans of NBC’s ,will be able to , and then select from a character like Michael or Jim and watch episodes that are centric to those characters, or are seen as some of the best. There are “beginner” options that give new viewers a chance to figure out the best episodes to watch, too. This is a type of human curation WarnerMedia is using to try to market its upcoming competitor HBO Max. ,More of the Peacock interface, including a look at some of the profile avatar options that will be available, can be seen in the gallery above. ",much like competitors and comcast s streaming service peacock is going to be entirely reliant on hubs comcast and nbcuniversal gave an in depth look at peacock which during a special investors event this afternoon at rock in new york city there are more than engineers working on the platform according to matt strauss head of peacock the streaming platform is based on the infrastructure that sky in the uk has used for its own streaming options during the presentation strauss walked investors and viewers through the peacock interface there are three different areas that subscribers can use when they open the app channels trending and browse while people are thinking of which option they want to click on a video will play automatically it may be the news or part of a game or a show but the idea is that when you launch it immediately starts playing video just like tv strauss said the first image in the gallery below shows an example from a story about from nbc news now once people open up browse they ll be able to cycle through the these are broken down into a series of rows similar to netflix and disney the first two rows are based on shows that people are already watching continue watching and new additions to the peacock app as viewing habit data is collected machine learning algorithms will help to make titles that appear on the homepage more personalized this is how netflix operates and how the upcoming hbo max app will operate as well emphasis will then be placed on peacock originals in subsequent rows followed with recommendations for existing titles that might be of interest peacock will also come with a kids section like every other streaming app that is entering the streaming space this year then there s the trending section peacock will also offer short form content on a daily basis including sports highlights pop culture updates and shorter news segments late night clips for example this includes clips that people may have missed strauss referred to it as the ability to get rid of the fomo fear of missing out you might experience by missing a late night episode right when it airs this can help nbcuniversal pull subscribers away from youtube where many of these highlights already live after the live airing and over to peacock if everything goes according to plan the third section is channels nbc is a linear network that wants to remind people how important television is so peacock is designed to try to replicate the look of traditional television strauss says subscribers can pull up a channel guide to scroll through much like we already do with cable packages now and see what s on they can select from tv shows news sports and movies as well as look into specific types of content hubs a hub for example will also get a channel look for people to browse through if they like these are peacock s three sections but there are more product features like curation around specific shows for instance fans of nbc s will be able to and then select from a character like michael or jim and watch episodes that are centric to those characters or are seen as some of the best there are beginner options that give new viewers a chance to figure out the best episodes to watch too this is a type of human curation warnermedia is using to try to market its upcoming competitor hbo max more of the peacock interface including a look at some of the profile avatar options that will be available can be seen in the gallery above ,much like competitor comcast streaming service peacock going entirely reliant hub comcast nbcuniversal gave depth look peacock special investor event afternoon rock new york city engineer working platform according matt strauss head peacock streaming platform based infrastructure sky used streaming option presentation strauss walked investor viewer peacock interface three different area subscriber use open app channel trending browse people thinking option want click video play automatically may news part game show idea launch immediately start playing video like strauss said first image gallery show example story nbc news people open browse able cycle broken series row similar netflix disney first two row based show people already watching continue watching new addition peacock app viewing habit data collected machine learning algorithm help make title appear homepage personalized netflix operates upcoming hbo max app operate well emphasis placed peacock original subsequent row followed recommendation existing title might interest peacock also come kid section like every streaming app entering streaming space year trending section peacock also offer short form content daily basis including sport highlight pop culture update shorter news segment late night clip example includes clip people may missed strauss referred ability get rid fomo fear missing might experience missing late night episode right air help nbcuniversal pull subscriber away youtube many highlight already live live airing peacock everything go according plan third section channel nbc linear network want remind people important television peacock designed try replicate look traditional television strauss say subscriber pull channel guide scroll much like already cable package see select show news sport movie well look specific type content hub hub example also get channel look people browse like peacock three section product feature like curation around specific show instance fan nbc able select character like michael jim watch episode centric character seen best beginner option give new viewer chance figure best episode watch type human curation warnermedia using try market upcoming competitor hbo max peacock interface including look profile avatar option available seen gallery,2020-01-01,327,competitor comcast reliant hub comcast nbcuniversal gave depth investor afternoon rock york city engineer matt strauss infrastructure sky presentation strauss walked investor interface area trending browse thinking click automatically immediately strauss image gallery example nbc browse cycle broken row row addition viewing habit data collected machine learning algorithm appear homepage personalized operates upcoming operate emphasis placed subsequent row followed recommendation existing interest section entering trending section offer daily basis highlight pop update shorter segment late clip example includes clip missed strauss referred ability rid fomo fear missing missing late nbcuniversal pull highlight airing section nbc linear remind designed replicate traditional strauss pull guide scroll package select specific type hub hub example browse section product curation specific instance nbc select jim centric beginner figure type curation market upcoming competitor interface profile avatar gallery
98,Netflix will nearly double the number of French language originals,2020-01-17,Nick Statt,"Netflix today signaled a significant new investment in France with the , and a content roadmap that will see the streaming service nearly double the number of French language originals it has produced so far. Since 2014, Netflix has produced 24 productions in French, including six films and nine television series. But the new plan is to add 20 new productions, and to grow its new corporate presence in Paris consisting of 40 employees to one nearly three times the size. ,Netflix is doing similar expansions across the globe, including elsewhere in Europe and in South America. The company has plans to ,, and last year it ,. It also has offices in England, the Netherlands, and Spain. ,The goal is to diversify its lineup of shows and movies to attract more international customers, especially as growth in its US subscriber base has hit its upper limit and competition from domestic giants like Disney and HBO heats up. Last July, the number of Netflix customers in the US ,. That’s made Netflix’s focus on international expansion more crucial than ever before. ,Netflix has had successful run with foreign language shows, including Spanish language crime thriller hits like ,and , and German language sci-fi show ,. It’s also struck gold with some of its foreign language films, including Oscar nominated ,from Mexican director Alfonso Cuarón. And Netflix is investing heavily in Japanese language content, including securing the ,, as another segment of the streaming wars now includes an , both new and old. ,Yet while expanding its presence in a country like France is arguably good for business, there’s also a legal reason at play. The European Parliament , new regulation regarding Netflix and other streaming services’ presence in the EU that mandates that at least 30 percent of all content carried on the platform be originally produced in the region. Amazon, Netflix, and other companies have until September 2020 to hit that quota. So it’s likely Netflix’s new investments in Germany, Italy, and France will help it do so. ,There’s also Netflix’s somewhat contentious relationship with the French cinema community, after the company’s high-profile showdown with the Cannes Film Festival over contest eligibility requirements. Netflix was , due to its limited theatrical runs, which ran afoul of France’s new rules around local releases and, more broadly, the country’s cultural commitment to cinema as an institution. ,Netflix then pulled out of the festival officially, and it ,. So a new, dedicated presence in Paris and a substantial increase in its investment in local productions may help smooth over that once-soured relationship. ",netflix today signaled a significant new investment in france with the and a content roadmap that will see the streaming service nearly double the number of french language originals it has produced so far since netflix has produced productions in french including six films and nine television series but the new plan is to add new productions and to grow its new corporate presence in paris consisting of employees to one nearly three times the size netflix is doing similar expansions across the globe including elsewhere in europe and in south america the company has plans to and last year it it also has offices in england the netherlands and spain the goal is to diversify its lineup of shows and movies to attract more international customers especially as growth in its us subscriber base has hit its upper limit and competition from domestic giants like disney and hbo heats up last july the number of netflix customers in the us that s made netflix s focus on international expansion more crucial than ever before netflix has had successful run with foreign language shows including spanish language crime thriller hits like and and german language sci fi show it s also struck gold with some of its foreign language films including oscar nominated from mexican director alfonso cuar n and netflix is investing heavily in japanese language content including securing the as another segment of the streaming wars now includes an both new and old yet while expanding its presence in a country like france is arguably good for business there s also a legal reason at play the european parliament new regulation regarding netflix and other streaming services presence in the eu that mandates that at least percent of all content carried on the platform be originally produced in the region amazon netflix and other companies have until september to hit that quota so it s likely netflix s new investments in germany italy and france will help it do so there s also netflix s somewhat contentious relationship with the french cinema community after the company s high profile showdown with the cannes film festival over contest eligibility requirements netflix was due to its limited theatrical runs which ran afoul of france s new rules around local releases and more broadly the country s cultural commitment to cinema as an institution netflix then pulled out of the festival officially and it so a new dedicated presence in paris and a substantial increase in its investment in local productions may help smooth over that once soured relationship ,netflix today signaled significant new investment france content roadmap see streaming service nearly double number french language original produced far since netflix produced production french including six film nine television series new plan add new production grow new corporate presence paris consisting employee one nearly three time size netflix similar expansion across globe including elsewhere europe south america company plan last year also office england netherlands spain goal diversify lineup show movie attract international customer especially growth subscriber base hit upper limit competition domestic giant like disney hbo heat last july number netflix customer made netflix focus international expansion crucial ever netflix successful run foreign language show including spanish language crime thriller hit like german language sci show also struck gold foreign language film including oscar nominated mexican director alfonso cuar netflix investing heavily japanese language content including securing another segment streaming war includes new old yet expanding presence country like france arguably good business also legal reason play european parliament new regulation regarding netflix streaming service presence mandate least percent content carried platform originally produced region amazon netflix company september hit quota likely netflix new investment germany italy france help also netflix somewhat contentious relationship french cinema community company high profile showdown cannes film festival contest eligibility requirement netflix due limited theatrical run ran afoul france new rule around local release broadly country cultural commitment cinema institution netflix pulled festival officially new dedicated presence paris substantial increase investment local production may help smooth soured relationship,2020-01-01,246,signaled significant investment france roadmap double french language french nine add grow corporate presence paris consisting employee size expansion globe elsewhere europe south office england netherlands spain goal diversify lineup attract international especially growth base upper limit competition domestic giant heat july international expansion crucial successful foreign language spanish language crime thriller german language sci struck gold foreign language oscar nominated mexican alfonso cuar investing heavily japanese language securing segment includes expanding presence country france arguably legal european parliament regulation regarding presence mandate carried originally region september quota likely investment germany italy france somewhat contentious french cinema community profile showdown cannes festival contest eligibility requirement due limited theatrical ran afoul france rule local broadly country cultural commitment cinema institution pulled festival officially dedicated presence paris substantial increase investment local smooth soured
99,Netflix reveals that 76 million people watched at least two minutes of The Witcher,2020-01-21,Chaim Gartenberg,", and so are the first official numbers for Netflix’s latest streaming hit ,. The company says the series was watched by 76 million households, making it the most-watched first season of television ever for Netflix. That’s according to Netflix’s newly unveiled definition of “watched,” which it changed from “watched 70 percent of a single episode of a series” to anyone who “chose to watch and did watch for at least 2 minutes.” ,In explaining the new metric, Netflix notes that the two-minute time period is meant to be “long enough to indicate the choice was intentional,” and it says that it follows similar metrics used by BBC’s iPlayer, YouTube, and ,’ measurements of page views. But the reasoning behind the change is obvious: to juice viewer numbers, with Netflix acknowledging that the new two-minute metric is “about 35% higher on average than the prior metric.” ,To put that number in perspective, two minutes of , is less time than it takes to reach the opening credits of the first episode; the action-packed cold opening is coincidentally two minutes and 16 seconds long. By Netflix’s new metric, anyone who watched just the opening scene of the episode (or 3.2 percent of the total runtime of the episode, which is itself one of eight episodes) is now counted as a view for the entire season. That is also shorter than the amount of time it would take to listen to the hit song “,,” which is also featured in the series.,Still, no matter how you slice it, 76 million households in the first four weeks is a lot of eyes on ,, which Netflix says is “tracking to be our biggest season one TV series ever.” And apparently that’s enough for Netflix to invest in the show for the long haul, as Netflix CEO Reed Hastings said , is a “massive new franchise that we’ll develop season after season” in a ,. It was , before season one aired, but Hastings’ comments seem to indicate that it will be a multi-season show.,The company also announced that , from director Michael Bay and starring Ryan Reynolds was viewed by 83 million households in its first four weeks (using the company’s new metric). By comparison, ,, although that doesn’t factor in the 35 percent boost ,’s numbers get from the new two-minute metric.", and so are the first official numbers for netflix s latest streaming hit the company says the series was watched by million households making it the most watched first season of television ever for netflix that s according to netflix s newly unveiled definition of watched which it changed from watched percent of a single episode of a series to anyone who chose to watch and did watch for at least minutes in explaining the new metric netflix notes that the two minute time period is meant to be long enough to indicate the choice was intentional and it says that it follows similar metrics used by bbc s iplayer youtube and measurements of page views but the reasoning behind the change is obvious to juice viewer numbers with netflix acknowledging that the new two minute metric is about higher on average than the prior metric to put that number in perspective two minutes of is less time than it takes to reach the opening credits of the first episode the action packed cold opening is coincidentally two minutes and seconds long by netflix s new metric anyone who watched just the opening scene of the episode or percent of the total runtime of the episode which is itself one of eight episodes is now counted as a view for the entire season that is also shorter than the amount of time it would take to listen to the hit song which is also featured in the series still no matter how you slice it million households in the first four weeks is a lot of eyes on which netflix says is tracking to be our biggest season one tv series ever and apparently that s enough for netflix to invest in the show for the long haul as netflix ceo reed hastings said is a massive new franchise that we ll develop season after season in a it was before season one aired but hastings comments seem to indicate that it will be a multi season show the company also announced that from director michael bay and starring ryan reynolds was viewed by million households in its first four weeks using the company s new metric by comparison although that doesn t factor in the percent boost s numbers get from the new two minute metric ,first official number netflix latest streaming hit company say series watched million household making watched first season television ever netflix according netflix newly unveiled definition watched changed watched percent single episode series anyone chose watch watch least minute explaining new metric netflix note two minute time period meant long enough indicate choice intentional say follows similar metric used bbc iplayer youtube measurement page view reasoning behind change obvious juice viewer number netflix acknowledging new two minute metric higher average prior metric put number perspective two minute le time take reach opening credit first episode action packed cold opening coincidentally two minute second long netflix new metric anyone watched opening scene episode percent total runtime episode one eight episode counted view entire season also shorter amount time would take listen hit song also featured series still matter slice million household first four week lot eye netflix say tracking biggest season one series ever apparently enough netflix invest show long haul netflix ceo reed hastings said massive new franchise develop season season season one aired hastings comment seem indicate multi season show company also announced director michael bay starring ryan reynolds viewed million household first four week using company new metric comparison although factor percent boost number get new two minute metric,2020-01-01,210,official watched household watched newly unveiled definition watched changed watched single anyone chose explaining metric period meant indicate choice intentional metric bbc iplayer measurement page view reasoning obvious juice acknowledging metric higher average prior metric perspective reach opening credit packed cold opening coincidentally metric anyone watched opening total runtime counted view shorter amount listen song featured slice household four eye tracking apparently invest haul reed hastings massive develop aired hastings comment indicate multi bay starring ryan reynolds viewed household four metric comparison factor boost metric
100,The final season of Star Wars: The Clone Wars gets a new trailer and February release date,2020-01-22,Julia Alexander,"Dave Filoni’s ,is one of the most beloved entries in the expansive , universe, and a new trailer for its final season hints that fans will get the closure they’ve always wanted. ,will,return for its seventh and final season on February 21st. ,The trailer brings back some of ,’ most popular characters, including Darth Maul, Anakin Skywalker, Yoda, and, of course, Ahsoka Tano. Tano is best known as Anakin’s padawan who represents equality during a turbulent time. One of the final shots of the trailer teases a showdown between Darth Maul and Ahsoka Tano as the series prepares to come to an end. ,takes place in between the events of ,and ,. The story is based on the intergalactic war that is transpiring (the Clone Wars), which Obi-Wan Kenobi references in ,. The series ran for six seasons between 2008 and 2014, but it was canceled before Filoni and his team of writers got the chance to end their story. ,The show has since been revived for Disney+, Disney’s streaming service, where it will live among other , shows, including ,and older episodes of shows like , and ,. The , at ties between the two series, which could be explored in the upcoming , finale and future seasons of the live-action show.,is a big deal for , fans. It’s also one of the bigger shows coming to Disney+ in the first half of 2020. ,will have to tide over fans of Disney’s bigger franchises (,, Disney, Pixar) until , in the second half of the year. Whether ,can,drive the same kind of success on Disney+ that ,did is yet to be seen. All six seasons of , are available to stream right now. ",dave filoni s is one of the most beloved entries in the expansive universe and a new trailer for its final season hints that fans will get the closure they ve always wanted will return for its seventh and final season on february st the trailer brings back some of most popular characters including darth maul anakin skywalker yoda and of course ahsoka tano tano is best known as anakin s padawan who represents equality during a turbulent time one of the final shots of the trailer teases a showdown between darth maul and ahsoka tano as the series prepares to come to an end takes place in between the events of and the story is based on the intergalactic war that is transpiring the clone wars which obi wan kenobi references in the series ran for six seasons between and but it was canceled before filoni and his team of writers got the chance to end their story the show has since been revived for disney disney s streaming service where it will live among other shows including and older episodes of shows like and the at ties between the two series which could be explored in the upcoming finale and future seasons of the live action show is a big deal for fans it s also one of the bigger shows coming to disney in the first half of will have to tide over fans of disney s bigger franchises disney pixar until in the second half of the year whether can drive the same kind of success on disney that did is yet to be seen all six seasons of are available to stream right now ,dave filoni one beloved entry expansive universe new trailer final season hint fan get closure always wanted return seventh final season february trailer brings back popular character including darth maul anakin skywalker yoda course ahsoka tano tano best known anakin padawan represents equality turbulent time one final shot trailer tease showdown darth maul ahsoka tano series prepares come end take place event story based intergalactic war transpiring clone war obi wan kenobi reference series ran six season canceled filoni team writer got chance end story show since revived disney disney streaming service live among show including older episode show like tie two series could explored upcoming finale future season live action show big deal fan also one bigger show coming disney first half tide fan disney bigger franchise disney pixar second half year whether drive kind success disney yet seen six season available stream right,2020-01-01,145,dave filoni beloved entry expansive hint closure wanted seventh february brings darth maul anakin skywalker yoda ahsoka tano tano known anakin padawan represents equality turbulent tease showdown darth maul ahsoka tano prepares intergalactic transpiring clone obi wan kenobi reference ran canceled filoni revived among older tie explored upcoming bigger tide bigger pixar drive
101,Star Trek: Picard knows Star Trek is a hard sell in 2020,2020-01-23,Joshua Rivera,"Meet Jean-Luc Picard, space dad. He was, for 178 episodes of , and four theatrical films, the captain of the starship Enterprise; an inherently trustworthy father figure who pushed everyone around him to be more noble, understanding, and empathetic. Eighteen years after his last appearance in the movie ,, Picard is back in ,— a CBS All Access show that plays surprisingly well for people who have not seen a moment of , as well as longtime fans. , is trying to go somewhere new. Shockingly, it seems a little bit nervous about it.,takes place 18 years after the events of ,, the final film starring the crew of ,, and several years after Jean-Luc Picard has retired to his family vineyard. The retirement, we learn, was not one he wanted, spurred by his superiors’ handling of a cataclysmic disaster on Mars, the details of which are slowly fleshed out over the first few episodes. ,The premiere wastes no time getting Picard to leave that vineyard. Miles away, a young woman named Dahj is pursued by assassins for reasons unknown, but two things become clear: there’s something special about her, and Jean-Luc Picard is the only man who can help her. So she quickly makes her way to his doorstep, and the adventure begins. , is a mystery on two fronts: One set in the recent past, peeling back the layers of what went wrong on Mars, and another in the present revolving around Dahj’s identity. The show heavily implies that these two mysteries are actually connected, and Picard is somehow at the center of both. The show is careful to take care of new viewers — while knowledge of , will certainly help you understand the significance of plot twists sooner. Nothing important is left unexplained — to the point where the show feels like it has a little ,much setup, stopping dead in its tracks after a very good premiere to meander for two episodes before doing some actual... star trekking. (CBS made the first three episodes available to critics.), is a franchise unusually concerned with ideals and ideas, and , gestures at compelling ones. What if Starfleet, the peacekeeping navy of the nigh-utopian United Federation of Planets, has suffered a slow decay that prioritized playing politics over valuing life? What if, even in a world where humanity has learned to cooperate and build a bright future, the slow slide to fascism is never really that difficult to begin? , is extremely interested in examining how the idea of , must change to make sense in 2020, and using one of its most familiar and beloved faces to do it. ,Unfortunately, all of these questions have an easy, cheap answer, and they are never far away in ,. If the Federation has changed, maybe it’s because it was compromised. If an alien race is treated with hostility, well, they , up to some shady stuff. And if an organization is ultimately oppressive, principled people who work within it are definitely not complicit. ,The good news is that even three episodes into a ten-episode season, , is still very much gearing up, and there’s still plenty of room for the show to surprise viewers and choose the more difficult, complicated answers to the questions it poses. Giving the show the benefit of the doubt, however, feels too much like the hollow centrist play that , needs to move past if it truly wants to be resonant today. Because the upsetting truth about 2020 is that, when faced with certain disaster, there are people who will ultimately refuse to work together, who’d rather rule over ruins than labor toward an equitable future. ,is a franchise that believes in institutions, and it’s fascinating to see , acknowledge that institutions don’t just fail, they can become co-opted entirely while still posturing as a force for the public good. The challenge of the show, then, echoes our real-world political challenge: being honest about why that happens. Whether or not it does that,, has a chance at being the most relevant ,has ever been — just maybe not for the reason it intends to be.",meet jean luc picard space dad he was for episodes of and four theatrical films the captain of the starship enterprise an inherently trustworthy father figure who pushed everyone around him to be more noble understanding and empathetic eighteen years after his last appearance in the movie picard is back in a cbs all access show that plays surprisingly well for people who have not seen a moment of as well as longtime fans is trying to go somewhere new shockingly it seems a little bit nervous about it takes place years after the events of the final film starring the crew of and several years after jean luc picard has retired to his family vineyard the retirement we learn was not one he wanted spurred by his superiors handling of a cataclysmic disaster on mars the details of which are slowly fleshed out over the first few episodes the premiere wastes no time getting picard to leave that vineyard miles away a young woman named dahj is pursued by assassins for reasons unknown but two things become clear there s something special about her and jean luc picard is the only man who can help her so she quickly makes her way to his doorstep and the adventure begins is a mystery on two fronts one set in the recent past peeling back the layers of what went wrong on mars and another in the present revolving around dahj s identity the show heavily implies that these two mysteries are actually connected and picard is somehow at the center of both the show is careful to take care of new viewers while knowledge of will certainly help you understand the significance of plot twists sooner nothing important is left unexplained to the point where the show feels like it has a little much setup stopping dead in its tracks after a very good premiere to meander for two episodes before doing some actual star trekking cbs made the first three episodes available to critics is a franchise unusually concerned with ideals and ideas and gestures at compelling ones what if starfleet the peacekeeping navy of the nigh utopian united federation of planets has suffered a slow decay that prioritized playing politics over valuing life what if even in a world where humanity has learned to cooperate and build a bright future the slow slide to fascism is never really that difficult to begin is extremely interested in examining how the idea of must change to make sense in and using one of its most familiar and beloved faces to do it unfortunately all of these questions have an easy cheap answer and they are never far away in if the federation has changed maybe it s because it was compromised if an alien race is treated with hostility well they up to some shady stuff and if an organization is ultimately oppressive principled people who work within it are definitely not complicit the good news is that even three episodes into a ten episode season is still very much gearing up and there s still plenty of room for the show to surprise viewers and choose the more difficult complicated answers to the questions it poses giving the show the benefit of the doubt however feels too much like the hollow centrist play that needs to move past if it truly wants to be resonant today because the upsetting truth about is that when faced with certain disaster there are people who will ultimately refuse to work together who d rather rule over ruins than labor toward an equitable future is a franchise that believes in institutions and it s fascinating to see acknowledge that institutions don t just fail they can become co opted entirely while still posturing as a force for the public good the challenge of the show then echoes our real world political challenge being honest about why that happens whether or not it does that has a chance at being the most relevant has ever been just maybe not for the reason it intends to be ,meet jean luc picard space dad episode four theatrical film captain starship enterprise inherently trustworthy father figure pushed everyone around noble understanding empathetic eighteen year last appearance movie picard back cbs access show play surprisingly well people seen moment well longtime fan trying somewhere new shockingly seems little bit nervous take place year event final film starring crew several year jean luc picard retired family vineyard retirement learn one wanted spurred superior handling cataclysmic disaster mar detail slowly fleshed first episode premiere waste time getting picard leave vineyard mile away young woman named dahj pursued assassin reason unknown two thing become clear something special jean luc picard man help quickly make way doorstep adventure begin mystery two front one set recent past peeling back layer went wrong mar another present revolving around dahj identity show heavily implies two mystery actually connected picard somehow center show careful take care new viewer knowledge certainly help understand significance plot twist sooner nothing important left unexplained point show feel like little much setup stopping dead track good premiere meander two episode actual star trekking cbs made first three episode available critic franchise unusually concerned ideal idea gesture compelling one starfleet peacekeeping navy nigh utopian united federation planet suffered slow decay prioritized playing politics valuing life even world humanity learned cooperate build bright future slow slide fascism never really difficult begin extremely interested examining idea must change make sense using one familiar beloved face unfortunately question easy cheap answer never far away federation changed maybe compromised alien race treated hostility well shady stuff organization ultimately oppressive principled people work within definitely complicit good news even three episode ten episode season still much gearing still plenty room show surprise viewer choose difficult complicated answer question pose giving show benefit doubt however feel much like hollow centrist play need move past truly want resonant today upsetting truth faced certain disaster people ultimately refuse work together rather rule ruin labor toward equitable future franchise belief institution fascinating see acknowledge institution fail become opted entirely still posturing force public good challenge show echo real world political challenge honest happens whether chance relevant ever maybe reason intends,2020-01-01,357,meet jean luc picard dad four theatrical captain starship enterprise inherently trustworthy father figure pushed noble understanding empathetic eighteen appearance picard surprisingly longtime somewhere shockingly nervous starring crew several jean luc picard retired vineyard retirement learn wanted spurred superior handling cataclysmic disaster mar detail fleshed waste picard leave vineyard mile named dahj pursued assassin unknown jean luc picard quickly doorstep adventure front recent past peeling layer wrong mar revolving dahj identity heavily implies connected picard somehow center careful care knowledge certainly understand significance twist sooner nothing unexplained setup stopping dead track meander actual trekking critic unusually concerned ideal gesture compelling starfleet peacekeeping navy nigh utopian federation planet suffered slow decay prioritized politics valuing humanity learned cooperate build bright slow slide fascism difficult interested examining must familiar beloved unfortunately cheap federation changed compromised alien race treated hostility shady stuff organization ultimately oppressive principled definitely complicit ten gearing plenty room surprise choose difficult complicated pose giving doubt hollow centrist past truly resonant upsetting truth faced certain disaster ultimately refuse rather rule ruin labor toward equitable belief institution fascinating acknowledge institution fail opted posturing public challenge echo political challenge honest happens relevant
102,Toss a Coin to Your Witcher is finally available to stream on Spotify and Apple Music,2020-01-22,Chaim Gartenberg,"It took over a month, but Netflix is finally releasing an official version of the breakout musical hit from its popular ,series. “Toss a Coin to Your Witcher” is , to stream on , and ,, and the full soundtrack from the series is set to release on January 24th. ,In addition to the meme-inducing earworm, Netflix is releasing a full, three-hour-plus score for the series from composers Sonya Belousova and Giona Ostinelli for fans who want to listen to songs that aren’t “Toss a Coin to Your Witcher” for whatever reason. (Apple Music ,.) ,, Joey Batey, who plays the bard Jaskier in the series, called the tune “the most annoying thing I’ve ever heard. It’s so catchy.” The song reached massive social media fame when the show was released on December 20th. ,But Netflix was seemingly unprepared for the popularity of the song, and there was no official release of the track beyond a , by the composers. (That SoundCloud link has since been converted to a paid track.) , from Belousova, the delay was on Netflix’s end: “We have the soundtrack ready to go and can’t wait to get it out, however there’s no ETA at the moment since it is up to Netflix whether or not to make it happen,” she posted at the time. ,, it’s doing just fine: as part of its Q4 2019 earnings, Netflix announced that the show has reached 76 million households (at least, under the company’s new, somewhat controversial viewing metrics) and is on track to become the streaming service’s most popular original TV show debut ever.  ",it took over a month but netflix is finally releasing an official version of the breakout musical hit from its popular series toss a coin to your witcher is to stream on and and the full soundtrack from the series is set to release on january th in addition to the meme inducing earworm netflix is releasing a full three hour plus score for the series from composers sonya belousova and giona ostinelli for fans who want to listen to songs that aren t toss a coin to your witcher for whatever reason apple music joey batey who plays the bard jaskier in the series called the tune the most annoying thing i ve ever heard it s so catchy the song reached massive social media fame when the show was released on december th but netflix was seemingly unprepared for the popularity of the song and there was no official release of the track beyond a by the composers that soundcloud link has since been converted to a paid track from belousova the delay was on netflix s end we have the soundtrack ready to go and can t wait to get it out however there s no eta at the moment since it is up to netflix whether or not to make it happen she posted at the time it s doing just fine as part of its q earnings netflix announced that the show has reached million households at least under the company s new somewhat controversial viewing metrics and is on track to become the streaming service s most popular original tv show debut ever ,took month netflix finally releasing official version breakout musical hit popular series toss coin witcher stream full soundtrack series set release january addition meme inducing earworm netflix releasing full three hour plus score series composer sonya belousova giona ostinelli fan want listen song toss coin witcher whatever reason apple music joey batey play bard jaskier series called tune annoying thing ever heard catchy song reached massive social medium fame show released december netflix seemingly unprepared popularity song official release track beyond composer soundcloud link since converted paid track belousova delay netflix end soundtrack ready wait get however eta moment since netflix whether make happen posted time fine part earnings netflix announced show reached million household least company new somewhat controversial viewing metric track become streaming service popular original show debut ever,2020-01-01,131,took releasing official breakout musical toss coin witcher soundtrack january addition meme inducing earworm releasing score composer sonya belousova giona ostinelli listen song toss coin witcher whatever joey batey bard jaskier tune annoying heard catchy song reached massive fame december seemingly unprepared popularity song official track beyond composer soundcloud link converted paid track belousova delay soundtrack ready wait eta happen posted fine earnings reached household somewhat controversial viewing metric track
